constraint_ready,entity_ready,fraction,query_score,ready,relation_score,request_index,source,step,text
False,False,0.0,0.0,False,0.0,0,dllm,0,
False,False,0.022222222222222223,0.0,False,0.0,0,dllm,1,QUERY:
False,False,0.044444444444444446,0.0,False,0.0,0,dllm,2,QUERY:4
True,True,0.06666666666666667,0.5714285714285714,False,0.0,0,dllm,3,QUERY: 2014 FIFA World Cup
True,True,0.08888888888888889,0.7142857142857143,True,0.5,0,dllm,4,QUERY: 2014 FIFA World Cup winner
True,True,0.1111111111111111,0.8571428571428571,True,0.5,0,dllm,5,QUERY: 2014 FIFA World Cup final winner
True,True,0.13333333333333333,0.8571428571428571,True,0.5,0,dllm,6,QUERY: 2014 FIFA World Cup final winner and
True,True,0.15555555555555556,0.8571428571428571,True,0.5,0,dllm,7,QUERY: 2014 FIFA World Cup final winner andENT
True,True,0.17777777777777778,0.8571428571428571,True,0.5,0,dllm,8,"QUERY: 2014 FIFA World Cup final winner and
ENTITIES:"
True,True,0.2,1.0,True,1.0,0,dllm,9,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES:"
True,True,0.2222222222222222,1.0,True,1.0,0,dllm,10,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES:REL"
True,True,0.24444444444444444,1.0,True,1.0,0,dllm,11,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES:
RELATION"
True,True,0.26666666666666666,1.0,True,1.0,0,dllm,12,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES:4
RELATION"
True,True,0.28888888888888886,1.0,True,1.0,0,dllm,13,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA,
RELATION"
True,True,0.3111111111111111,1.0,True,1.0,0,dllm,14,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup,
RELATION"
True,True,0.3333333333333333,1.0,True,1.0,0,dllm,15,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup, opponent
RELATION"
True,True,0.35555555555555557,1.0,True,1.0,0,dllm,16,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION"
True,True,0.37777777777777777,1.0,True,1.0,0,dllm,17,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.4,1.0,True,1.0,0,dllm,18,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.4222222222222222,1.0,True,1.0,0,dllm,19,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.4444444444444444,1.0,True,1.0,0,dllm,20,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.4666666666666667,1.0,True,1.0,0,dllm,21,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.4888888888888889,1.0,True,1.0,0,dllm,22,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.5111111111111111,1.0,True,1.0,0,dllm,23,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.5333333333333333,1.0,True,1.0,0,dllm,24,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.5555555555555556,1.0,True,1.0,0,dllm,25,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.5777777777777777,1.0,True,1.0,0,dllm,26,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.6,1.0,True,1.0,0,dllm,27,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.6222222222222222,1.0,True,1.0,0,dllm,28,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.6444444444444445,1.0,True,1.0,0,dllm,29,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.6666666666666666,1.0,True,1.0,0,dllm,30,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.6888888888888889,1.0,True,1.0,0,dllm,31,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.7111111111111111,1.0,True,1.0,0,dllm,32,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.7333333333333333,1.0,True,1.0,0,dllm,33,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.7555555555555555,1.0,True,1.0,0,dllm,34,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.7777777777777778,1.0,True,1.0,0,dllm,35,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.8,1.0,True,1.0,0,dllm,36,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.8222222222222222,1.0,True,1.0,0,dllm,37,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.8444444444444444,1.0,True,1.0,0,dllm,38,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
True,True,0.8666666666666667,1.0,True,1.0,0,dllm,39,"QUERY: 2014 FIFA World Cup final winner and opponent
ENTITIES: 2014 FIFA World Cup winner, opponent
RELATION:"
